LY001,Like Young,Ab Ovo / Sonorous,25 Translucent Red,http://likexyoung.bandcamp.com
LY002,Like Young,Macédoine / Churchill,25 Translucent Blue,http://likexyoung.bandcamp.com
LY003,Aquaventure,Legend,25 Red / 25 Green,http://aquaventure.bandcamp.com
LY004,Like Young / Wolf Grey,Split,25 Black / 25 White,http://wlfgry.bandcamp.com
LY005,Like Young / Quiethouse,Split,25 Clear with Blue Liner / 25 Clear with Green Liner,http://likexyoung.bandcamp.com/album/split
LY006,Sexes,Humans,50 Grey,http://likexyoung.bandcamp.com/album/humans
LY007,Literature,Arab Spring,50 Red,http://literature.bandcamp.com
LY008,Conveyor,Conveyor,25 Green / 25 Yellow,http://conveyor.bandcamp.com
LY009,The Fridge,Digital Digital Dilletantism,25 Translucent Yellow / 25 White,http://thefridge.bandcamp.com
LY010,Quiet Sun,Three Colours White,50 Clear with Royal Blue Liner,http://quietsunsounds.bandcamp.com
LY011,Ranger,Heritage,50 Smokey Clear (1st Press) / 50 Translucent Green (2nd Press),http://rangertunes.bandcamp.com
LY012,Colossal Rex,Every Place Is Sacred,Clear with Royal Blue Liner,http://colossalrex.bandcamp.com
LY013,Minnow,Minnow,50 Translucent Blue,http://minnowmusic.bandcamp.com
LY014,Aquaventure,Aquaventure,50 Purple,http://aquaventure.bandcamp.com
LY015,The Fridge,Draw The Plot,25 Translucent Green / 25 Clear with Royal Blue Liner,http://thefridge.bandcamp.com
LY016,Quiet Sun,Flicker & Fade,50 Translucent Red,http://quietsunsounds.bandcamp.com
LY017,Darkentries,Darkentries,50 Translucent Purple,http://darkentriessc.bandcamp.com
LY018,Sleepmeld,Sleepmeld,25 Clear with Red Liner / 25 Clear with Gold Liner,http://sleepmeld.bandcamp.com
LY019,Downstaaiirs,Weeping / Creeping,50 Translucent Purple,http://downstaaiirs38.bandcamp.com
LY020,Trigger Men,Trigger Men,50 Translucent Red,http://triggermen.bandcamp.com
LY021,Riverboys,Dark Age,25 Clear with Black Liner / 25 Clear with Gold Liner,http://riverboys.bandcamp.com
